station_number,latitude,longitude,county,locality,address,institution
238,44.914151090212215,25.34181601529981,JUDEŢUL DÂMBOVIŢA,DRAGOMIREŞTI,"UAT: DRAGOMIREŞTI, Localitate: DRAGOMIREŞTI, Artera: Strada Principală, Nr: 130 Etaj: Parter  Rampa: Da",ŞCOALA GIMNAZIALĂ DRAGOMIREŞTI
76,45.74892609416201,22.89924755794903,JUDEŢUL HUNEDOARA,HUNEDOARA,"UAT: MUNICIPIUL HUNEDOARA, Localitate: HUNEDOARA, Artera: Bulevardul Decebal, Nr: 11 Etaj: Parter  Rampa: Da",Colegiul Național ”Iancu de Hunedoara” (FOSTA ȘCOALĂ GENERALĂ NR. 5)
209,47.62879506763483,26.73180518608534,JUDEŢUL BOTOŞANI,CRISTEŞTI,"UAT: CRISTEŞTI, Localitate: CRISTEŞTI Etaj: Parter  Rampa: Da","Scoala Primara nr. 1 Sat Cristesti , denumire uzuala scoala din Ghilanesti"
176,44.123040667704345,24.53162272158911,JUDEŢUL OLT,PESTRA,"UAT: DĂNEASA, Localitate: PESTRA, Artera: Strada General Ion Georgescu, Nr: 34 Etaj: Parter  Rampa: Da",CAMINUL CULTURAL
305,47.226866590866415,27.29452945255113,JUDEŢUL IAŞI,PODU ILOAIEI,"UAT: ORAŞ PODU ILOAIEI, Localitate: PODU ILOAIEI, Artera: Strada Henci Etaj: Parter  Rampa: Da",ŞCOALA HENCI
182,47.0577565111728,22.397457927023275,JUDEŢUL BIHOR,ALEŞD,"UAT: ORAŞ ALEŞD, Localitate: ALEŞD, Artera: Strada Bobâlna (Strada Bobîlna), Nr: 1 BIS Etaj: Parter  Rampa: Da",LICEUL TEORETIC CONSTANTIN ȘERBAN
133,45.148812200963675,24.676473210798985,JUDEŢUL ARGEŞ,CURTEA DE ARGEŞ,"UAT: MUNICIPIUL CURTEA DE ARGEŞ, Localitate: CURTEA DE ARGEŞ Etaj: Parter  Rampa: Da",CENTRUL DE CULTURĂ ȘI ARTE ”GEORGE TOPÎRCEANU” (II)
505,46.53506152008712,24.499979324957504,JUDEŢUL MUREŞ,NAZNA,"UAT: SÂNCRAIU DE MUREŞ, Localitate: NAZNA, Artera: Strada Principală, Nr: 149 Etaj: Parter  Rampa: Da",ŞCOALA GIMNAZIALĂ NAZNA
252,44.75988624118929,21.747334673815107,JUDEŢUL CARAŞ-SEVERIN,PADINA MATEI,"UAT: GÂRNIC, Localitate: PADINA MATEI, Nr: 12 Etaj: Parter  Rampa: Nu",Căminul Cultural Padina Matei
403,46.003952999999996,22.158579000000042,JUDEŢUL ARAD,VĂRĂDIA DE MUREŞ,"UAT: VĂRĂDIA DE MUREŞ, Localitate: VĂRĂDIA DE MUREŞ, Nr: 126 Etaj: Parter  Rampa: Da",Primăria comunei Vărădia de Mureș
516,46.38700270549282,27.844855489469204,JUDEŢUL VASLUI,VĂLENI,"UAT: VIIŞOARA, Localitate: VĂLENI Etaj: Parter  Rampa: Nu e cazul",ȘCOALA PRIMARĂ VĂLENI
